video_id,comment_id,text,like_count,published_at,author_channel_id,query,video_url,video_title,slang_hits,source_file
zcLazzHXgqQ,UgwQYhLlmJOqyAK3pgF4AaABAg,"first brain fog, then dizzy, loss of feeling in hands. Lost 2 lbs in 4 mos. Explosive diarrhea or constipation. Quit taking 6 weeks ago. feel  astonishingly bad. I am diabetic only need to loose 30 lbs. Now I cannot walk without dizzy and falling. Rx from doc. Neighbor was flat on back in misery. Not walking when you have severe diarrhea IS A BIG problem.",4,2024-03-10T18:42:10Z,UCtDAAoooDngCv5SeSRi0CXg,"""ozempic side effects"" #shorts",https://www.youtube.com/watch?v=zcLazzHXgqQ,New Ozempic and Wegovy side effects come to light,['brain fog'],data_raw/youtube_comments.jsonl
1OWUB4gkUnA,Ugw1tiaZJlc--U1CJRp4AaABAg,"I've never injected myself before with medication I started ozempic only 1 week ago lost 1.2kg on 0.25 
I've followed instructions no pain at all on injection site.
I ate food then injected no ill side affect just woke up really thirsty first night keep fluids up,the rest of the days waking up less thirsty.
I'm.suprised I lost weight first week I have type 2 diabetes",0,2022-03-16T06:36:28Z,UC2cUklAVuIN8TAj2mTyacrw,"""ozempic side effects"" #shorts",https://www.youtube.com/watch?v=1OWUB4gkUnA,"Ozempic - Uses, dose, benefits and side effects",['ate'],data_raw/youtube_comments.jsonl
MNMp1JONuVQ,Ugxt-CR86W9EtJVnLNV4AaABAg,I have always said that the mind is the last thing we will understand because usually by the time that it can be examined the person is dead. And for those people that have a habitual problem have to determine if their chemistry has a propensity that has to be overcomed. Just as psych meds have helped people deal with mental health issues you need to find what is it that your body needs to deal with it.,3,2023-06-26T00:57:52Z,UCc1gWPblgdFQdgiEmzOwxvQ,"""glp1 journey"" #shorts",https://www.youtube.com/watch?v=MNMp1JONuVQ,Episode 13:  Rosie O&#39;Donnell Shows Up for Weight Loss Meds,['dead'],data_raw/youtube_comments.jsonl
50XneImooFc,UgwZrPIcSyF7phktzx94AaABAg,"I have has  NO side effects first 3 weeks(first 3 shots) of Zepbound….even got thru Thanksgiving eating all the rich foods but in great moderation. Then this past Thursday I ate more at dinner than I normally do( so delicious but rich I don’t normally eat red meat like that) and that night my  stomach cramped all night, it was like a cramping you get  when you think you’re gonna have diarrhea, but I didn’t. I was constipated and kept doing little movements and suddenly in the morning I had massive diarrhea and then I was fine. It scared me so I don’t know if I should stop taking it or not. I don’t understand why this happened suddenly.",1,2025-12-07T15:56:13Z,UC9xrl41eGk9oML0mdFrZTEg,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=50XneImooFc,Obesity Doctor: Mounjaro Side Effects #shorts,['ate'],data_raw/youtube_comments.jsonl
MzTCwlOM64Y,Ugz-eRkA7PZXLVVEDlN4AaABAg,"I have been on Monjaro almost three months. I have had no side effects. Because I immediately changed how I ate and added exercise. I agree that. You may be on it forever if you don’t change. But I disagree because if you make the lifestyle changes, I think you can eventually get off it and keep the weight off with good habits",41,2024-03-18T00:27:48Z,UC3154NbNESsqHjNiCTEI1Qg,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=MzTCwlOM64Y,The Best MOUNJARO Alternative (Without the Side Effects) - Dr. Berg,['ate'],data_raw/youtube_comments.jsonl
MzTCwlOM64Y,UgxMzZyKf6nI_Tcouf14AaABAg,"I have type 2 diabetes and was on Mounjaro for two years. I stopped taking it a few months ago because I felt so fatigued that I could barely function. My diet didn’t change much—I just ate less—but I had almost no energy, even for a simple walk. A friend had to come over to help me clean because I was so exhausted.

On top of that, I started dreading the injections because they made me feel like I was going to throw up, and the nausea lasted for three days. It really impacted my quality of life. Over two years, I lost a total of 22 pounds while on the 5 mg dose. Every time I tried increasing it, I experienced severe stomach pain and almost ended up in the hospital.

Since stopping Mounjaro, I’ve been constantly sick. I had a severe two-week illness with nonstop vomiting, followed by two sinus infections that turned into bronchitis—one in February and now again in March. I live in Florida and rarely get sick, so this is really unusual for me. I’m not sure if my body is trying to cleanse itself or if Mounjaro may have affected my immune system.",3,2025-03-25T05:02:53Z,UCBk7TO4bA-S1zZeZOVtcEmQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=MzTCwlOM64Y,The Best MOUNJARO Alternative (Without the Side Effects) - Dr. Berg,['ate'],data_raw/youtube_comments.jsonl
MzTCwlOM64Y,UgwILAK5-ILnFSZ0mCx4AaABAg,"Anyone here who is Mounjaro - resistant? I have been taking it for 14 weeks now and nothing is happening (different intensities). Any suggestion if in case you are on the same dead end , any other drug - ozempic etc would work ?",4,2025-01-26T13:55:44Z,UC9zgUs3tklKAPViTkp_mkhQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=MzTCwlOM64Y,The Best MOUNJARO Alternative (Without the Side Effects) - Dr. Berg,['dead'],data_raw/youtube_comments.jsonl
hpRmQ6QKi2E,UgyUWO8B62zy_Mkmchd4AaABAg,"I experienced mild depression, combined with brain fog, and feeling withdrawn, anti social starting on day 4.....",18,2025-05-02T01:05:33Z,UC-FtoiiBoRTJr3sQzWqBvwQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=hpRmQ6QKi2E,Managing Mounjaro Side Effects: Strategies for Minimizing Risks | Wave Plastic Surgery,['brain fog'],data_raw/youtube_comments.jsonl
Dqe5hAnUxqg,Ugyfkc2un7mwgQFk4cx4AaABAg,The question is if an individual is morbidly obese let's say 250 kg and well they cannot lose weight even with various programmes let's say from factors like lack of willpower or watnot wouldn't glp 1 drugs like ozempic be much better for them cause their chances of death on their size is much more compared dying from any side effect of that drug,1,2025-09-24T12:52:49Z,UCscZM6k9yDddk2FF7Z7ZXHg,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=Dqe5hAnUxqg,The Truth About Mounjaro Side Effects,['dying'],data_raw/youtube_comments.jsonl
VQmomDREd5E,Ugx3nlWpWA0PTP4S1x54AaABAg,"Go for a walk after every meal & instead of doing your hair, face & nails.
Chew your food.   Eat whole food.  No snacking. 
Stop being lazy & shallow. 
Put the damn fork down & push away fr the table.",0,2026-03-18T15:05:13Z,UC0FSFN1RRmBgOd1uWQpl8SQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=VQmomDREd5E,Mounjaro 5mg 💩 NEW Side Effect #shorts #mounjaro #weightloss,['fr'],data_raw/youtube_comments.jsonl
